last,first,birth,death,author,title,vol,publisher,date,page,portrait,call_number,name,book,code
Smith,Adam G.,1852,1911,"Estes, Virginia",Pause for Reflection: Cassia County,,"Provo, J. Grant Stevenson",1977,162,,Day-NW F752C3E74,"Smith, Adam G.","Estes, Virginia. Pause for Reflection: Cassia County (Provo, J. Grant Stevenson), 1977. p. 162. ",Pause
Smith,Mrs. John Shields,1880,,"Estes, Virginia",Pause for Reflection: Cassia County,,"Provo, J. Grant Stevenson",1977,165,,Day-NW F752C3E74,"Smith, Mrs. John Shields","Estes, Virginia. Pause for Reflection: Cassia County (Provo, J. Grant Stevenson), 1977. p. 165. ",Pause
Smith,Moses Martin,1874,1953,"Estes, Virginia",Pause for Reflection: Cassia County,,"Provo, J. Grant Stevenson",1977,169,,Day-NW F752C3E74,"Smith, Moses Martin","Estes, Virginia. Pause for Reflection: Cassia County (Provo, J. Grant Stevenson), 1977. p. 169. ",Pause
Smith,John S.,1881,,"Estes, Virginia",Pause for Reflection: Cassia County,,"Provo, J. Grant Stevenson",1977,175,,Day-NW F752C3E74,"Smith, John S.","Estes, Virginia. Pause for Reflection: Cassia County (Provo, J. Grant Stevenson), 1977. p. 175. ",Pause
Smith,Robert,1879,1955,"Estes, Virginia",Pause for Reflection: Cassia County,,"Provo, J. Grant Stevenson",1977,175,,Day-NW F752C3E74,"Smith, Robert","Estes, Virginia. Pause for Reflection: Cassia County (Provo, J. Grant Stevenson), 1977. p. 175. ",Pause
Smith,Annie Loretta Nelson,1880,,"Estes, Virginia",Pause for Reflection: Cassia County,,"Provo, J. Grant Stevenson",1977,177,,Day-NW F752C3E74,"Smith, Annie Loretta Nelson","Estes, Virginia. Pause for Reflection: Cassia County (Provo, J. Grant Stevenson), 1977. p. 177. ",Pause
Smith,Joseph,1883,1959,"Estes, Virginia",Pause for Reflection: Cassia County,,"Provo, J. Grant Stevenson",1977,182,,Day-NW F752C3E74,"Smith, Joseph","Estes, Virginia. Pause for Reflection: Cassia County (Provo, J. Grant Stevenson), 1977. p. 182. ",Pause
Smith,Joseph,1855,1942,"Estes, Virginia",Pause for Reflection: Cassia County,,"Provo, J. Grant Stevenson",1977,185,,Day-NW F752C3E74,"Smith, Joseph","Estes, Virginia. Pause for Reflection: Cassia County (Provo, J. Grant Stevenson), 1977. p. 185. ",Pause
Smith,Agnes Nish Hutchison,1822,1902,"Estes, Virginia",Pause for Reflection: Cassia County,,"Provo, J. Grant Stevenson",1977,258,,Day-NW F752C3E74,"Smith, Agnes Nish Hutchison","Estes, Virginia. Pause for Reflection: Cassia County (Provo, J. Grant Stevenson), 1977. p. 258. ",Pause
Smith,Flossie Ellen Parish,1888,1972,"Estes, Virginia",Pause for Reflection: Cassia County,,"Provo, J. Grant Stevenson",1977,279,,Day-NW F752C3E74,"Smith, Flossie Ellen Parish","Estes, Virginia. Pause for Reflection: Cassia County (Provo, J. Grant Stevenson), 1977. p. 279. ",Pause
Smith,John Obry,1884,1941,"Estes, Virginia",Pause for Reflection: Cassia County,,"Provo, J. Grant Stevenson",1977,280,,Day-NW F752C3E74,"Smith, John Obry","Estes, Virginia. Pause for Reflection: Cassia County (Provo, J. Grant Stevenson), 1977. p. 280. ",Pause
Smith,Thomas Rawlins,1853,1925,"Estes, Virginia",Pause for Reflection: Cassia County,,"Provo, J. Grant Stevenson",1977,282,,Day-NW F752C3E74,"Smith, Thomas Rawlins","Estes, Virginia. Pause for Reflection: Cassia County (Provo, J. Grant Stevenson), 1977. p. 282. ",Pause
Smith,Victor,1885,,"Estes, Virginia",Pause for Reflection: Cassia County,,"Provo, J. Grant Stevenson",1977,357,,Day-NW F752C3E74,"Smith, Victor","Estes, Virginia. Pause for Reflection: Cassia County (Provo, J. Grant Stevenson), 1977. p. 357. ",Pause
Smith,Lillie Stokes,1880,,"Estes, Virginia",Pause for Reflection: Cassia County,,"Provo, J. Grant Stevenson",1977,370,,Day-NW F752C3E74,"Smith, Lillie Stokes","Estes, Virginia. Pause for Reflection: Cassia County (Provo, J. Grant Stevenson), 1977. p. 370. ",Pause
Smith,George Ritter,,,"Estes, Virginia",Pause for Reflection: Cassia County,,"Provo, J. Grant Stevenson",1977,579,,Day-NW F752C3E74,"Smith, George Ritter","Estes, Virginia. Pause for Reflection: Cassia County (Provo, J. Grant Stevenson), 1977. p. 579. ",Pause
Smith,Flossie Ellen Parish,1888,1972,"Estes, Virginia",Pause for Reflection: Cassia County,,"Provo, J. Grant Stevenson",1977,757,,Day-NW F752C3E74,"Smith, Flossie Ellen Parish","Estes, Virginia. Pause for Reflection: Cassia County (Provo, J. Grant Stevenson), 1977. p. 757. ",Pause
Smith,Charles A,1846,,,"Progressive Men of Bannock, Bear Lake, Bingham, Fremont and Oneida Counties, Idaho",,"Chicago, A. W. Bowen & Co.",1904,634,,Day-NW F745P96,"Smith, Charles A","Progressive Men of Bannock, Bear Lake, Bingham, Fremont and Oneida Counties, Idaho (Chicago, A. W. Bowen & Co.), 1904. p. 634. ",PROG
Smith,Frederick,1865,,,"Progressive Men of Bannock, Bear Lake, Bingham, Fremont and Oneida Counties, Idaho",,"Chicago, A. W. Bowen & Co.",1904,565,,Day-NW F745P96,"Smith, Frederick","Progressive Men of Bannock, Bear Lake, Bingham, Fremont and Oneida Counties, Idaho (Chicago, A. W. Bowen & Co.), 1904. p. 565. ",PROG
Smith,George M,1865,,,"Progressive Men of Bannock, Bear Lake, Bingham, Fremont and Oneida Counties, Idaho",,"Chicago, A. W. Bowen & Co.",1904,618,,Day-NW F745P96,"Smith, George M","Progressive Men of Bannock, Bear Lake, Bingham, Fremont and Oneida Counties, Idaho (Chicago, A. W. Bowen & Co.), 1904. p. 618. ",PROG
Smith,George V,1869,,,"Progressive Men of Bannock, Bear Lake, Bingham, Fremont and Oneida Counties, Idaho",,"Chicago, A. W. Bowen & Co.",1904,410,,Day-NW F745P96,"Smith, George V","Progressive Men of Bannock, Bear Lake, Bingham, Fremont and Oneida Counties, Idaho (Chicago, A. W. Bowen & Co.), 1904. p. 410. ",PROG
Smith,J. Edgar,1852,,,"Progressive Men of Bannock, Bear Lake, Bingham, Fremont and Oneida Counties, Idaho",,"Chicago, A. W. Bowen & Co.",1904,152,p,Day-NW F745P96,"Smith, J. Edgar","Progressive Men of Bannock, Bear Lake, Bingham, Fremont and Oneida Counties, Idaho (Chicago, A. W. Bowen & Co.), 1904. p. 152. [includes portrait]",PROG
Smith,Oliver T,1857,,,"Progressive Men of Bannock, Bear Lake, Bingham, Fremont and Oneida Counties, Idaho",,"Chicago, A. W. Bowen & Co.",1904,411,,Day-NW F745P96,"Smith, Oliver T","Progressive Men of Bannock, Bear Lake, Bingham, Fremont and Oneida Counties, Idaho (Chicago, A. W. Bowen & Co.), 1904. p. 411. ",PROG
Smith,Thomas E,1850,,,"Progressive Men of Bannock, Bear Lake, Bingham, Fremont and Oneida Counties, Idaho",,"Chicago, A. W. Bowen & Co.",1904,551,,Day-NW F745P96,"Smith, Thomas E","Progressive Men of Bannock, Bear Lake, Bingham, Fremont and Oneida Counties, Idaho (Chicago, A. W. Bowen & Co.), 1904. p. 551. ",PROG
Smith,Charles A,1846,,,Progressive men of Southern Idaho,,"Chicago, W. A. Bowen & Co.",1904,634,,Day-NW F745P97,"Smith, Charles A","Progressive men of Southern Idaho (Chicago, W. A. Bowen & Co.), 1904. p. 634. ",PROG S
Smith,Frederick,1865,,,Progressive men of Southern Idaho,,"Chicago, W. A. Bowen & Co.",1904,565,,Day-NW F745P97,"Smith, Frederick","Progressive men of Southern Idaho (Chicago, W. A. Bowen & Co.), 1904. p. 565. ",PROG S
Smith,George M,1865,,,Progressive men of Southern Idaho,,"Chicago, W. A. Bowen & Co.",1904,618,,Day-NW F745P97,"Smith, George M","Progressive men of Southern Idaho (Chicago, W. A. Bowen & Co.), 1904. p. 618. ",PROG S
Smith,George V,1869,,,Progressive men of Southern Idaho,,"Chicago, W. A. Bowen & Co.",1904,410,,Day-NW F745P97,"Smith, George V","Progressive men of Southern Idaho (Chicago, W. A. Bowen & Co.), 1904. p. 410. ",PROG S
Smith,J. Edgar,1852,,,Progressive men of Southern Idaho,,"Chicago, W. A. Bowen & Co.",1904,152,p,Day-NW F745P97,"Smith, J. Edgar","Progressive men of Southern Idaho (Chicago, W. A. Bowen & Co.), 1904. p. 152. [includes portrait]",PROG S
Smith,John L,1855,,,Progressive men of Southern Idaho,,"Chicago, W. A. Bowen & Co.",1904,881,,Day-NW F745P97,"Smith, John L","Progressive men of Southern Idaho (Chicago, W. A. Bowen & Co.), 1904. p. 881. ",PROG S
Smith,Oliver T,1857,,,Progressive men of Southern Idaho,,"Chicago, W. A. Bowen & Co.",1904,411,,Day-NW F745P97,"Smith, Oliver T","Progressive men of Southern Idaho (Chicago, W. A. Bowen & Co.), 1904. p. 411. ",PROG S
Smith,Thomas E,1850,,,Progressive men of Southern Idaho,,"Chicago, W. A. Bowen & Co.",1904,551,,Day-NW F745P97,"Smith, Thomas E","Progressive men of Southern Idaho (Chicago, W. A. Bowen & Co.), 1904. p. 551. ",PROG S
Smith,Charles Henry,1843,1900,,Settlers of the Silver Sage,,"Ricks College Press, Rexburg, ID",1992,932,p,Day-NW F752.C55S48 1992,"Smith, Charles Henry","Settlers of the Silver Sage (Ricks College Press, Rexburg, ID), 1992. p. 932. [includes portrait]",Silver
Smith,Edna Elizabeth,1879,1956,,Settlers of the Silver Sage,,"Ricks College Press, Rexburg, ID",1992,935,p,Day-NW F752.C55S48 1992,"Smith, Edna Elizabeth","Settlers of the Silver Sage (Ricks College Press, Rexburg, ID), 1992. p. 935. [includes portrait]",Silver
Smith,Fred A.,1883,1967,,Settlers of the Silver Sage,,"Ricks College Press, Rexburg, ID",1992,935,p,Day-NW F752.C55S48 1992,"Smith, Fred A.","Settlers of the Silver Sage (Ricks College Press, Rexburg, ID), 1992. p. 935. [includes portrait]",Silver
Smith,F. Girdin,1915,1940,,Settlers of the Silver Sage,,"Ricks College Press, Rexburg, ID",1992,937,,Day-NW F752.C55S48 1992,"Smith, F. Girdin","Settlers of the Silver Sage (Ricks College Press, Rexburg, ID), 1992. p. 937. ",Silver
Smith,"Blaine ""Bud""",,1992,,Settlers of the Silver Sage,,"Ricks College Press, Rexburg, ID",1992,937,,Day-NW F752.C55S48 1992,"Smith, Blaine ""Bud""","Settlers of the Silver Sage (Ricks College Press, Rexburg, ID), 1992. p. 937. ",Silver
Smith,Gilbert Roscoe,1888,1970,,Settlers of the Silver Sage,,"Ricks College Press, Rexburg, ID",1992,937,p,Day-NW F752.C55S48 1992,"Smith, Gilbert Roscoe","Settlers of the Silver Sage (Ricks College Press, Rexburg, ID), 1992. p. 937. [includes portrait]",Silver
Smith,Max J.,1928,1953,,Settlers of the Silver Sage,,"Ricks College Press, Rexburg, ID",1992,939,p,Day-NW F752.C55S48 1992,"Smith, Max J.","Settlers of the Silver Sage (Ricks College Press, Rexburg, ID), 1992. p. 939. [includes portrait]",Silver
Smith,Hazel Levengood,1893,1914,,Settlers of the Silver Sage,,"Ricks College Press, Rexburg, ID",1992,940,,Day-NW F752.C55S48 1992,"Smith, Hazel Levengood","Settlers of the Silver Sage (Ricks College Press, Rexburg, ID), 1992. p. 940. ",Silver
Smith,Wayne,,,,Settlers of the Silver Sage,,"Ricks College Press, Rexburg, ID",1992,940,p,Day-NW F752.C55S48 1992,"Smith, Wayne","Settlers of the Silver Sage (Ricks College Press, Rexburg, ID), 1992. p. 940. [includes portrait]",Silver
Smith,Anna,,,,Settlers of the Silver Sage,,"Ricks College Press, Rexburg, ID",1992,941,p,Day-NW F752.C55S48 1992,"Smith, Anna","Settlers of the Silver Sage (Ricks College Press, Rexburg, ID), 1992. p. 941. [includes portrait]",Silver
Smith,Stanley,,,,Settlers of the Silver Sage,,"Ricks College Press, Rexburg, ID",1992,941,p,Day-NW F752.C55S48 1992,"Smith, Stanley","Settlers of the Silver Sage (Ricks College Press, Rexburg, ID), 1992. p. 941. [includes portrait]",Silver
Smith,Arthur R.,1861,1929,"Yarber, Esther",Stanley-Sawtooth country,,"Publishers Press, Salt Lake city, Utah",1976,328,,Day-NW F752.C9Y33,"Smith, Arthur R.","Yarber, Esther. Stanley-Sawtooth country (Publishers Press, Salt Lake city, Utah), 1976. p. 328. ",Stanley
Smith,Carroll Lee,,,"Marcy, Minnie",History of the Class of 1901,,Boise?,1951?,,,Day-NW LD2322.6 1901.M37 1951,"Smith, Carroll Lee","Marcy, Minnie. History of the Class of 1901 (Boise?), 1951?. ",UIClass
Smith,Rheva Marsden,1913,,"Garrett, Tressa Murdoch","History of the uplands Farnum, Drummond, Squirrel, Lamont, and communities faded into the past, 1896-1990",,Idaho,1992,244,p,Day-NW F752.F8G37 1992,"Smith, Rheva Marsden","Garrett, Tressa Murdoch. History of the uplands Farnum, Drummond, Squirrel, Lamont, and communities faded into the past, 1896-1990 (Idaho), 1992. p. 244. [includes portrait]",Upland
Smith,Leo Earl,,,"Garrett, Tressa Murdoch","History of the uplands Farnum, Drummond, Squirrel, Lamont, and communities faded into the past, 1896-1990",,Idaho,1992,339,p,Day-NW F752.F8G37 1992,"Smith, Leo Earl","Garrett, Tressa Murdoch. History of the uplands Farnum, Drummond, Squirrel, Lamont, and communities faded into the past, 1896-1990 (Idaho), 1992. p. 339. [includes portrait]",Upland
Smith,Cleo May,,,"Garrett, Tressa Murdoch","History of the uplands Farnum, Drummond, Squirrel, Lamont, and communities faded into the past, 1896-1990",,Idaho,1992,343,p,Day-NW F752.F8G37 1992,"Smith, Cleo May","Garrett, Tressa Murdoch. History of the uplands Farnum, Drummond, Squirrel, Lamont, and communities faded into the past, 1896-1990 (Idaho), 1992. p. 343. [includes portrait]",Upland
Smith,Arthur Gale,1914,,"Garrett, Tressa Murdoch","History of the uplands Farnum, Drummond, Squirrel, Lamont, and communities faded into the past, 1896-1990",,Idaho,1992,344,,Day-NW F752.F8G37 1992,"Smith, Arthur Gale","Garrett, Tressa Murdoch. History of the uplands Farnum, Drummond, Squirrel, Lamont, and communities faded into the past, 1896-1990 (Idaho), 1992. p. 344. ",Upland
Smith,Henry Watkins,1877,1929,"Garrett, Tressa Murdoch","History of the uplands Farnum, Drummond, Squirrel, Lamont, and communities faded into the past, 1896-1990",,Idaho,1992,346,p,Day-NW F752.F8G37 1992,"Smith, Henry Watkins","Garrett, Tressa Murdoch. History of the uplands Farnum, Drummond, Squirrel, Lamont, and communities faded into the past, 1896-1990 (Idaho), 1992. p. 346. [includes portrait]",Upland
Smith,Lydia,1915,,"Garrett, Tressa Murdoch","History of the uplands Farnum, Drummond, Squirrel, Lamont, and communities faded into the past, 1896-1990",,Idaho,1992,349,,Day-NW F752.F8G37 1992,"Smith, Lydia","Garrett, Tressa Murdoch. History of the uplands Farnum, Drummond, Squirrel, Lamont, and communities faded into the past, 1896-1990 (Idaho), 1992. p. 349. ",Upland
"Smith, Jr.",Warren Samuel (Sam),1902,1969,,Gems of our Valley,,"Grace, Grace Literary Club",1977,543,p,Day-NW F752C3S55,"Smith, Jr., Warren Samuel (Sam)","Gems of our Valley (Grace, Grace Literary Club), 1977. p. 543. [includes portrait]",Gems
"Smith, Sr.",Warren Samuel,1876,1928,,Gems of our Valley,,"Grace, Grace Literary Club",1977,467,p,Day-NW F752C3S55,"Smith, Sr., Warren Samuel","Gems of our Valley (Grace, Grace Literary Club), 1977. p. 467. [includes portrait]",Gems
Smitherman,Walter G,1874,,"Hawley, James H",History of Idaho; The Gem of the Mountains,2,"Chicago, S. J. Clarke Pub. Co.",1920,950,,Day-NW F746H39,"Smitherman, Walter G","Hawley, James H. History of Idaho; The Gem of the Mountains, v. 2 (Chicago, S. J. Clarke Pub. Co.), 1920. p. 950. ",HAWLEY
Smithers,Nancy Carolyn Trolinger,1928,,Altrusa Club of Boise,Biographies of Idaho Women,,Boise,1979,,,Day-NW F745A4 1979,"Smithers, Nancy Carolyn Trolinger","Altrusa Club of Boise. Biographies of Idaho Women (Boise), 1979. ",Altrusa
Smock,P. Monroe,1874,,"Flenner, John D.",Syringa Blossoms,1,"Caldwell, Id., Caxton",191-?,132,p,Day-NW F745F55,"Smock, P. Monroe","Flenner, John D.. Syringa Blossoms, v. 1 (Caldwell, Id., Caxton), 191-?. p. 132. [includes portrait]",Flenner
Smock,P. Monroe,1874,,"French, Hiram T",History of Idaho,2,Chicago The Lewis Pub. Co.,1914,820,p,Day-NW F746F87,"Smock, P. Monroe","French, Hiram T. History of Idaho, v. 2 (Chicago The Lewis Pub. Co.), 1914. p. 820. [includes portrait]",FRENCH
Smoot,Brigham R,1869,,"French, Hiram T",History of Idaho,3,Chicago The Lewis Pub. Co.,1914,1262,,Day-NW F746F87,"Smoot, Brigham R","French, Hiram T. History of Idaho, v. 3 (Chicago The Lewis Pub. Co.), 1914. p. 1262. ",FRENCH
Smoot,Isaac Albert,1880,,"Hawley, James H",History of Idaho; The Gem of the Mountains,2,"Chicago, S. J. Clarke Pub. Co.",1920,166,p,Day-NW F746H39,"Smoot, Isaac Albert","Hawley, James H. History of Idaho; The Gem of the Mountains, v. 2 (Chicago, S. J. Clarke Pub. Co.), 1920. p. 166. [includes portrait]",HAWLEY
Smuin,William,1883,,"French, Hiram T",History of Idaho,3,Chicago The Lewis Pub. Co.,1914,1206,,Day-NW F746F87,"Smuin, William","French, Hiram T. History of Idaho, v. 3 (Chicago The Lewis Pub. Co.), 1914. p. 1206. ",FRENCH
Smylie,Robert E,1914,,"Beal, Merrill D","History of Idaho, by Merrill Beal and Merle W. Wells",3,"New York, Lewis Historical Pub. Co.",1959,11,,Day-NW F746B335,"Smylie, Robert E","Beal, Merrill D. History of Idaho, by Merrill Beal and Merle W. Wells, v. 3 (New York, Lewis Historical Pub. Co.), 1959. p. 11. ",B&W
Smylie,Robert E.,1914,,,Encyclopedia of Idaho,,"Santa Barbara, Somerset, Inc",2001,135,,Day-NW F744.E52 2001,"Smylie, Robert E.","Encyclopedia of Idaho (Santa Barbara, Somerset, Inc), 2001. p. 135. ",Encyclopedia
Smylie,Lucille Irwin (Lu) (Mrs. Robert E.),,,"Cosho, Maude L",An Idaho Hodgepodge,,Boise,1981,261,,Day-NW F746 C67,"Smylie, Lucille Irwin (Lu) (Mrs. Robert E.)","Cosho, Maude L. An Idaho Hodgepodge (Boise), 1981. p. 261. ",IdahoHodgepodge
Smylie,Robert E,1914,,"Cosho, Maude L",An Idaho Hodgepodge,,Boise,1981,261,,Day-NW F746 C67,"Smylie, Robert E","Cosho, Maude L. An Idaho Hodgepodge (Boise), 1981. p. 261. ",IdahoHodgepodge
Sneddon,Gilbert,1908,,"Beal, Merrill D","History of Idaho, by Merrill Beal and Merle W. Wells",3,"New York, Lewis Historical Pub. Co.",1959,412,,Day-NW F746B335,"Sneddon, Gilbert","Beal, Merrill D. History of Idaho, by Merrill Beal and Merle W. Wells, v. 3 (New York, Lewis Historical Pub. Co.), 1959. p. 412. ",B&W
Sneddon,R. N,1879,,"French, Hiram T",History of Idaho,3,Chicago The Lewis Pub. Co.,1914,1114,,Day-NW F746F87,"Sneddon, R. N","French, Hiram T. History of Idaho, v. 3 (Chicago The Lewis Pub. Co.), 1914. p. 1114. ",FRENCH
Sneden,Angus,,1982,,"Beautiful Bonner: the history of Bonner County, Idaho",,"Dallas, Curtis Media",1991,651,,Day-NW F752B677B43,"Sneden, Angus","Beautiful Bonner: the history of Bonner County, Idaho (Dallas, Curtis Media), 1991. p. 651. ",Bonner
Sneed,Fay,,,,Idaho Oldtime Fiddlers,3,The Idaho Oldtime Fiddlers Association,1963-84,119,p,Day-NW F745.R5,"Sneed, Fay","Idaho Oldtime Fiddlers, v. 3 (The Idaho Oldtime Fiddlers Association), 1963-84. p. 119. [includes portrait]",Fiddlers
Sneed,Elma,,,,Idaho Oldtime Fiddlers,3,The Idaho Oldtime Fiddlers Association,1963-84,119,p,Day-NW F745.R5,"Sneed, Elma","Idaho Oldtime Fiddlers, v. 3 (The Idaho Oldtime Fiddlers Association), 1963-84. p. 119. [includes portrait]",Fiddlers
Sneed,Fay,,,,Idaho Oldtime Fiddlers,3,The Idaho Oldtime Fiddlers Association,1963-84,20,p,Day-NW F745.R5,"Sneed, Fay","Idaho Oldtime Fiddlers, v. 3 (The Idaho Oldtime Fiddlers Association), 1963-84. p. 20. [includes portrait]",Fiddlers
Sneed,Donna,1946,,,Idaho Oldtime Fiddlers,3,The Idaho Oldtime Fiddlers Association,1963-84,20,p,Day-NW F745.R5,"Sneed, Donna","Idaho Oldtime Fiddlers, v. 3 (The Idaho Oldtime Fiddlers Association), 1963-84. p. 20. [includes portrait]",Fiddlers
Sneed,Desie Young,,,"Foote, Rebeca N.",Gift from grace,,Boise? Idaho : s.n,1980,75,p,Day-NW F752B67F66,"Sneed, Desie Young","Foote, Rebeca N.. Gift from grace (Boise? Idaho : s.n), 1980. p. 75. [includes portrait]",Grace
Sneed,Donna,1946,,,Idaho Oldtime Fiddlers,,"Boise, Id., The Idaho Old Time Fiddlers' Association",1963,20,p,Day-NW F745R5,"Sneed, Donna","Idaho Oldtime Fiddlers (Boise, Id., The Idaho Old Time Fiddlers' Association), 1963. p. 20. [includes portrait]",IOF
Sneed,Fay,,,,Idaho Oldtime Fiddlers,,"Boise, Id., The Idaho Old Time Fiddlers' Association",1963,20,p,Day-NW F745R5,"Sneed, Fay","Idaho Oldtime Fiddlers (Boise, Id., The Idaho Old Time Fiddlers' Association), 1963. p. 20. [includes portrait]",IOF
Snell,Nathan E,1875,,"French, Hiram T",History of Idaho,3,Chicago The Lewis Pub. Co.,1914,1275,,Day-NW F746F87,"Snell, Nathan E","French, Hiram T. History of Idaho, v. 3 (Chicago The Lewis Pub. Co.), 1914. p. 1275. ",FRENCH
Snell,Francis M,1869,,"Hawley, James H",History of Idaho; The Gem of the Mountains,2,"Chicago, S. J. Clarke Pub. Co.",1920,226,p,Day-NW F746H39,"Snell, Francis M","Hawley, James H. History of Idaho; The Gem of the Mountains, v. 2 (Chicago, S. J. Clarke Pub. Co.), 1920. p. 226. [includes portrait]",HAWLEY
Snell,George D,1872,,"Hawley, James H",History of Idaho; The Gem of the Mountains,2,"Chicago, S. J. Clarke Pub. Co.",1920,262,p,Day-NW F746H39,"Snell, George D","Hawley, James H. History of Idaho; The Gem of the Mountains, v. 2 (Chicago, S. J. Clarke Pub. Co.), 1920. p. 262. [includes portrait]",HAWLEY
Snelson,Lee J,1877,,"French, Hiram T",History of Idaho,3,Chicago The Lewis Pub. Co.,1914,l048,,Day-NW F746F87,"Snelson, Lee J","French, Hiram T. History of Idaho, v. 3 (Chicago The Lewis Pub. Co.), 1914. p. l048. ",FRENCH
Sneve,Hans H,,1934,"Ingle, Gerald",Gleanings from Big Bear Ridge,,"Moscow, Latah County Historical Society",1982,181,,Day-NW F752B5G7,"Sneve, Hans H","Ingle, Gerald. Gleanings from Big Bear Ridge (Moscow, Latah County Historical Society), 1982. p. 181. ",Ingle
Snider,Merle E,1935,,,"Beautiful Bonner: the history of Bonner County, Idaho",,"Dallas, Curtis Media",1991,652,,Day-NW F752B677B43,"Snider, Merle E","Beautiful Bonner: the history of Bonner County, Idaho (Dallas, Curtis Media), 1991. p. 652. ",Bonner
Snodgrass,C.F. (Monty),,,,"History of Boundary County, Idaho",,"Bonners Ferry, Boundary County Historical Society",1987,515,,Day-NW F752B73H57 1987,"Snodgrass, C.F. (Monty)","History of Boundary County, Idaho (Bonners Ferry, Boundary County Historical Society), 1987. p. 515. ",Boundary
Snodgrass,James Wilson,1842,1924,Idaho State Historical Society,Biennial Report,9,"Boise, Id.",1908-1950,47,,Idaho F741B5,"Snodgrass, James Wilson","Idaho State Historical Society. Biennial Report, v. 9 (Boise, Id.), 1908-1950. p. 47. ",IHS
Snodgrass,Ida,1882,,"Estes, Virginia",Pause for Reflection: Cassia County,,"Provo, J. Grant Stevenson",1977,89,,Day-NW F752C3E74,"Snodgrass, Ida","Estes, Virginia. Pause for Reflection: Cassia County (Provo, J. Grant Stevenson), 1977. p. 89. ",Pause
Snoen,Mary Ethel Clark,1894,1963,Fix Ridge Club,"Early and present history of Fix Ridge, Latah County, Idaho, 1877-1964.",,Fix Ridge Club,1964,19,,Day-NW F752.L3E15,"Snoen, Mary Ethel Clark","Fix Ridge Club. Early and present history of Fix Ridge, Latah County, Idaho, 1877-1964. (Fix Ridge Club), 1964. p. 19. ",Fix Ridge
Snoen,Myrtle Clark,1896,,Fix Ridge Club,"Early and present history of Fix Ridge, Latah County, Idaho, 1877-1964.",,Fix Ridge Club,1964,19,,Day-NW F752.L3E15,"Snoen, Myrtle Clark","Fix Ridge Club. Early and present history of Fix Ridge, Latah County, Idaho, 1877-1964. (Fix Ridge Club), 1964. p. 19. ",Fix Ridge
Snook,Charlotte Louise Clayson,1884,,"Beal, Merrill D","History of Idaho, by Merrill Beal and Merle W. Wells",3,"New York, Lewis Historical Pub. Co.",1959,410,p,Day-NW F746B335,"Snook, Charlotte Louise Clayson","Beal, Merrill D. History of Idaho, by Merrill Beal and Merle W. Wells, v. 3 (New York, Lewis Historical Pub. Co.), 1959. p. 410. [includes portrait]",B&W
Snook,Frederick Hughes,1908,,"Beal, Merrill D","History of Idaho, by Merrill Beal and Merle W. Wells",3,"New York, Lewis Historical Pub. Co.",1959,411,,Day-NW F746B335,"Snook, Frederick Hughes","Beal, Merrill D. History of Idaho, by Merrill Beal and Merle W. Wells, v. 3 (New York, Lewis Historical Pub. Co.), 1959. p. 411. ",B&W
Snook,John Wilson,1876,,"Beal, Merrill D","History of Idaho, by Merrill Beal and Merle W. Wells",3,"New York, Lewis Historical Pub. Co.",1959,410,p,Day-NW F746B335,"Snook, John Wilson","Beal, Merrill D. History of Idaho, by Merrill Beal and Merle W. Wells, v. 3 (New York, Lewis Historical Pub. Co.), 1959. p. 410. [includes portrait]",B&W
Snook,John Wilson,1876,,"Flenner, John D.",Syringa Blossoms,2,"Caldwell, Id., Caxton",191-?,33,p,Day-NW F745F55,"Snook, John Wilson","Flenner, John D.. Syringa Blossoms, v. 2 (Caldwell, Id., Caxton), 191-?. p. 33. [includes portrait]",Flenner
Snook,John Wilson,1876,,"French, Hiram T",History of Idaho,2,Chicago The Lewis Pub. Co.,1914,685,p,Day-NW F746F87,"Snook, John Wilson","French, Hiram T. History of Idaho, v. 2 (Chicago The Lewis Pub. Co.), 1914. p. 685. [includes portrait]",FRENCH
Snow,Harold,1910,,"Beal, Merrill D","History of Idaho, by Merrill Beal and Merle W. Wells",3,"New York, Lewis Historical Pub. Co.",1959,220,,Day-NW F746B335,"Snow, Harold","Beal, Merrill D. History of Idaho, by Merrill Beal and Merle W. Wells, v. 3 (New York, Lewis Historical Pub. Co.), 1959. p. 220. ",B&W
Snow,Bernard,1822,1893,"Diffendaffer, Marguerite L.",Council Valley: Here they labored,,The Worthwhile Club of Council Idaho,1977,277,,Day-NW F752A3D54,"Snow, Bernard","Diffendaffer, Marguerite L.. Council Valley: Here they labored (The Worthwhile Club of Council Idaho), 1977. p. 277. ",Council
Snow,Mary Elizabeth Sullivan,1882,1954,,Gems of our Valley,,"Grace, Grace Literary Club",1977,469,,Day-NW F752C3S55,"Snow, Mary Elizabeth Sullivan","Gems of our Valley (Grace, Grace Literary Club), 1977. p. 469. ",Gems
Snow,A. Frank,1860,,"Hawley, James H",History of Idaho; The Gem of the Mountains,2,"Chicago, S. J. Clarke Pub. Co.",1920,461,,Day-NW F746H39,"Snow, A. Frank","Hawley, James H. History of Idaho; The Gem of the Mountains, v. 2 (Chicago, S. J. Clarke Pub. Co.), 1920. p. 461. ",HAWLEY
